"","tool","toolVec104","toolVec518","toolVecyes123","toolVec1111","toolManP"
"657","asp.net",0,0,60,0,"yes123"
"658","mysql",0,0,59,0,"yes123"
"659","script",0,0,57,0,"yes123"
"660","oracle",0,0,53,0,"yes123"
"661","php",0,0,51,0,"yes123"
"662","word",0,0,51,0,"yes123"
"663","excel",0,0,51,0,"yes123"
"664","powerpoint",0,0,50,0,"yes123"
"665","c++",0,0,40,0,"yes123"
"666","c#",0,0,39,0,"yes123"
"667","windows",0,0,39,0,"yes123"
"668","jquery",0,0,35,0,"yes123"
"669","vb",0,0,35,0,"yes123"
"670","visual",0,0,34,0,"yes123"
"671","c#.net",0,0,27,0,"yes123"
"672","linux",0,0,27,0,"yes123"
"673","outlook",0,0,26,0,"yes123"
"674","ajax",0,0,24,0,"yes123"
"675","css",0,0,22,0,"yes123"
"676","asp",0,0,22,0,"yes123"
"677","jsp",0,0,21,0,"yes123"
"678",".net",0,0,20,0,"yes123"
"679","web",0,0,19,0,"yes123"
"680","studio",0,0,17,0,"yes123"
"681","javascript",0,0,16,0,"yes123"
"682","xml",0,0,16,0,"yes123"
"683","pl",0,0,16,0,"yes123"
"684","c",0,0,14,0,"yes123"
"685","7",0,0,14,0,"yes123"
"686","dhtml",0,0,13,0,"yes123"
"687","android",0,0,13,0,"yes123"
"688","dreamweaver",0,0,12,0,"yes123"
"689","services",0,0,11,0,"yes123"
"690","delphi",0,0,11,0,"yes123"
"691","ios",0,0,10,0,"yes123"
"692","j2ee",0,0,9,0,"yes123"
"693","configuring",0,0,9,0,"yes123"
"694","master",0,0,8,0,"yes123"
"695","developer",0,0,8,0,"yes123"
"696","jsf",0,0,7,0,"yes123"
"697","flash",0,0,7,0,"yes123"
"698","tcp",0,0,7,0,"yes123"
"699","ip",0,0,7,0,"yes123"
"700","actionscript",0,0,6,0,"yes123"
"701","spring",0,0,6,0,"yes123"
"702","tomcat",0,0,6,0,"yes123"
"703","unix",0,0,6,0,"yes123"
"704","access",0,0,6,0,"yes123"
"705","photoshop",0,0,6,0,"yes123"
"706","c++.net",0,0,5,0,"yes123"
"707","nt",0,0,5,0,"yes123"
"708","erp",0,0,5,0,"yes123"
"709","activex",0,0,5,0,"yes123"
"710","internet",0,0,5,0,"yes123"
"711","explorer",0,0,5,0,"yes123"
"712","http",0,0,4,0,"yes123"
"713","objectivec",0,0,4,0,"yes123"
"714","scriptphp",0,0,4,0,"yes123"
"715","swift",0,0,4,0,"yes123"
"716","uml",0,0,4,0,"yes123"
"717","mvc",0,0,4,0,"yes123"
"718","phpc++",0,0,4,0,"yes123"
"719","2000",0,0,4,0,"yes123"
"720","configuringwindows",0,0,4,0,"yes123"
"721","xhtml",0,0,4,0,"yes123"
"722","adobe",0,0,3,0,"yes123"
"723","acrobat",0,0,3,0,"yes123"
"724","iis",0,0,3,0,"yes123"
"725","firewall",0,0,3,0,"yes123"
"726","struts",0,0,3,0,"yes123"
"727","visio",0,0,3,0,"yes123"
"728","powerbuilder",0,0,3,0,"yes123"
"729","postgresql",0,0,3,0,"yes123"
"730","illustrator",0,0,3,0,"yes123"
"731","vmware",0,0,3,0,"yes123"
"732","programming",0,0,3,0,"yes123"
"733","scriptmysql",0,0,2,0,"yes123"
"734","websphere",0,0,2,0,"yes123"
"735","cobol",0,0,2,0,"yes123"
"736","jdbc",0,0,2,0,"yes123"
"737","security",0,0,2,0,"yes123"
"738","servlets",0,0,2,0,"yes123"
"739","weblogic",0,0,2,0,"yes123"
"740","ruby",0,0,2,0,"yes123"
"741","rdbms",0,0,2,0,"yes123"
"742","arcgis",0,0,2,0,"yes123"
"743","tqctqctqcpdjavac++",0,0,2,0,"yes123"
"744","junit",0,0,2,0,"yes123"
"745","frontpage",0,0,2,0,"yes123"
"746","xp",0,0,2,0,"yes123"
"747","socket",0,0,2,0,"yes123"
"748","lotusscript",0,0,2,0,"yes123"
"749","winform",0,0,2,0,"yes123"
"750","objectivecerp",0,0,2,0,"yes123"
"751","python",0,0,2,0,"yes123"
"752","javascript",0,0,0,339,"1111"
"753","html",0,0,0,271,"1111"
"754","java",0,0,0,257,"1111"
"755","ms sql",0,0,0,233,"1111"
"756","asp.net",0,0,0,229,"1111"
"757","jquery",0,0,0,218,"1111"
"758","c#.net",0,0,0,205,"1111"
"759","mysql",0,0,0,196,"1111"
"760","php",0,0,0,173,"1111"
"761","excel",0,0,0,148,"1111"
"762","word",0,0,0,143,"1111"
"763","ajax",0,0,0,122,"1111"
"764","powerpoint",0,0,0,111,"1111"
"765","css",0,0,0,108,"1111"
"766","c",0,0,0,105,"1111"
"767","c++",0,0,0,105,"1111"
"768","oracle",0,0,0,97,"1111"
"769","linux",0,0,0,88,"1111"
"770","autocad",0,0,0,88,"1111"
"771","outlook",0,0,0,84,"1111"
"772","xml",0,0,0,61,"1111"
"773","illustrator",0,0,0,61,"1111"
"774","vb.net",0,0,0,60,"1111"
"775","asp",0,0,0,60,"1111"
"776","jsp",0,0,0,57,"1111"
"777","windows server 2000-2012",0,0,0,56,"1111"
"778","photoshop",0,0,0,56,"1111"
"779","android",0,0,0,51,"1111"
"780","dreamweaver",0,0,0,50,"1111"
"781","pl",0,0,0,49,"1111"
"782","sql",0,0,0,49,"1111"
"783","windows xp",0,0,0,48,"1111"
"784","dhtml",0,0,0,47,"1111"
"785","ios",0,0,0,41,"1111"
"786","flash",0,0,0,39,"1111"
"787","windows 7",0,0,0,38,"1111"
"788","solidworks",0,0,0,35,"1111"
"789","visual basic",0,0,0,33,"1111"
"790","obj-c",0,0,0,30,"1111"
"791","python",0,0,0,28,"1111"
"792","http",0,0,0,26,"1111"
"793","visual c++",0,0,0,26,"1111"
"794","tomcat",0,0,0,26,"1111"
"795","struts",0,0,0,21,"1111"
"796","access",0,0,0,20,"1111"
"797","mastercam",0,0,0,20,"1111"
"798","delphi",0,0,0,17,"1111"
"799","swift",0,0,0,16,"1111"
"800","uml",0,0,0,15,"1111"
"801","adobe photoshop lightroom",0,0,0,15,"1111"
"802","project",0,0,0,14,"1111"
"803","oop",0,0,0,13,"1111"
"804","pro-e",0,0,0,13,"1111"
"805","unity",0,0,0,13,"1111"
"806","3ds max",0,0,0,13,"1111"
"807","mac os",0,0,0,13,"1111"
"808","tcp/ip",0,0,0,12,"1111"
"809","vmware",0,0,0,12,"1111"
"810","windows nt",0,0,0,11,"1111"
"811","vb script",0,0,0,11,"1111"
"812","after effects",0,0,0,11,"1111"
"813","windows vista",0,0,0,10,"1111"
"814","corel draw",0,0,0,10,"1111"
"815","windows 8",0,0,0,10,"1111"
"816","ug",0,0,0,10,"1111"
"817","autocad 3d",0,0,0,9,"1111"
"818","windows 98",0,0,0,9,"1111"
"819","servlets",0,0,0,8,"1111"
"820","actionscript",0,0,0,8,"1111"
"821","maya",0,0,0,8,"1111"
"822","visio",0,0,0,8,"1111"
"823","lnternet explorer",0,0,0,8,"1111"
"824","網路設計",0,0,0,8,"1111"
"825","hibernate",0,0,0,7,"1111"
"826","unix",0,0,0,7,"1111"
"827","powerbuilder",0,0,0,7,"1111"
"828","flex",0,0,0,7,"1111"
"829","frontpage",0,0,0,7,"1111"
"830","premiere",0,0,0,7,"1111"
"831","fireworks",0,0,0,6,"1111"
"832","autocad 2d",0,0,0,6,"1111"
"833","solidedge",0,0,0,6,"1111"
"834","photoimpact",0,0,0,5,"1111"
"835","inventor",0,0,0,5,"1111"
"836","catia",0,0,0,5,"1111"
"837","freebsd",0,0,0,5,"1111"
"838","pc週邊",0,0,0,5,"1111"
"839","db2",0,0,0,4,"1111"
"840","sap erp",0,0,0,4,"1111"
"841","鼎新 erp",0,0,0,4,"1111"
"842","informix",0,0,0,4,"1111"
"843","ruby on rails",0,0,0,4,"1111"
"844","pc",0,0,0,4,"1111"
"845","dns",0,0,0,4,"1111"
"846","foxpro",0,0,0,3,"1111"
"847","visual foxpro",0,0,0,3,"1111"
"848","lotusnotes",0,0,0,3,"1111"
"849","vba",0,0,0,3,"1111"
"850","ruby",0,0,0,3,"1111"
"851","qt",0,0,0,3,"1111"
"852","mac os x",0,0,0,3,"1111"
"853","shell script",0,0,0,3,"1111"
"854","imageready",0,0,0,3,"1111"
"855","indesign",0,0,0,3,"1111"
"856","oracle forms",0,0,0,3,"1111"
"857","通訊系統",0,0,0,3,"1111"
"858","bcb",0,0,0,3,"1111"
"859","vpn",0,0,0,3,"1111"
"860","cobol",0,0,0,2,"1111"
"861","鼎新workflow erp",0,0,0,2,"1111"
"862","sybase",0,0,0,2,"1111"
"863","perl",0,0,0,2,"1111"
"864","matlab",0,0,0,2,"1111"
"865","systems analysis",0,0,0,2,"1111"
"866","cisco",0,0,0,2,"1111"
"867","director",0,0,0,2,"1111"
"868","plc",0,0,0,2,"1111"
"869","mac",0,0,0,2,"1111"
"870","windows 10",0,0,0,2,"1111"
"871","sketch",0,0,0,2,"1111"
"872","gis",0,0,0,2,"1111"
"873","lan",0,0,0,2,"1111"
"874","final cut pro",0,0,0,2,"1111"
"875","空間魔法師",0,0,0,2,"1111"
"876","鼎新tiptop erp",0,0,0,1,"1111"
"877","ansys",0,0,0,1,"1111"
"878","cinema 4d",0,0,0,1,"1111"
"879","spss",0,0,0,1,"1111"
"880","sas",0,0,0,1,"1111"
"881","assembly",0,0,0,1,"1111"
"882","dbase",0,0,0,1,"1111"
"883","sketchup",0,0,0,1,"1111"
"884","oracle erp",0,0,0,1,"1111"
"885","windows ce",0,0,0,1,"1111"
"886","os",0,0,0,1,"1111"
"887","2",0,0,0,1,"1111"
"888","mongodb",0,0,0,1,"1111"
"889","r",0,0,0,1,"1111"
"890","filemaker",0,0,0,1,"1111"
"891","windows mobile",0,0,0,1,"1111"
"892","ethernet",0,0,0,1,"1111"
"893","labview",0,0,0,1,"1111"
"894","cgi",0,0,0,1,"1111"
"895","san",0,0,0,1,"1111"
"896","nas",0,0,0,1,"1111"
"897","authorware",0,0,0,1,"1111"
"898","pos銷售點管理系統",0,0,0,1,"1111"
"899","正航",0,0,0,1,"1111"
"900","solaris",0,0,0,1,"1111"
"901","aix",0,0,0,1,"1111"
"902","monitor",0,0,0,1,"1111"
"903","主機板",0,0,0,1,"1111"
"904","revit",0,0,0,1,"1111"
"905","free hand",0,0,0,1,"1111"
"906","quarkxpress",0,0,0,1,"1111"
"907","edius",0,0,0,1,"1111"
"908","openoffice writer",0,0,0,1,"1111"
"909","openoffice impress",0,0,0,1,"1111"
"910","openoffice calc",0,0,0,1,"1111"
"911","openoffice draw",0,0,0,1,"1111"
"912","openoffice math",0,0,0,1,"1111"
"913","as400",0,0,0,1,"1111"
